"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"119","IL2RA",7,3,7,5,6,6,0,4,3
"120","IMMP1L",3,2,1,2,2,0,2,0,0
"121","KDM2B",4,7,2,3,4,3,4,5,0
"122","KIF21A",5,3,1,2,2,0,3,1,0
"123","MARCH6",3,3,4,1,2,2,2,0,0
"124","MED13L",7,3,4,8,3,4,4,1,0
"125","MORN3",4,0,0,1,0,0,2,1,0
"126","PARP8",2,3,6,7,5,0,2,3,0
"127","PDE4D",6,4,4,6,5,4,3,6,4
"128","PGK1",6,1,1,5,3,2,4,4,0
"129","PIK3C2B",4,4,1,0,3,5,2,1,0
"130","PSME4",8,2,2,3,6,3,5,4,0
"131","RIN3",3,5,7,1,6,4,4,8,0
"132","RPS11",4,3,4,3,0,1,1,3,0
"133","RPS27A",3,3,2,2,0,4,2,1,0
"134","SEC24A",7,4,2,6,7,7,1,4,0
"135","SIK3",4,6,3,4,5,1,6,1,0
"136","SLC4A7",6,4,2,2,3,0,4,4,0
"137","SYNE2",5,4,4,3,5,0,2,1,0
"138","TPD52",2,1,4,1,4,0,3,3,0
"139","WWOX",3,3,1,3,1,1,3,4,0
"140","AFF4",4,6,9,5,4,4,8,1,0
"141","AHCYL2",4,4,0,3,3,2,4,4,0
"142","ATXN1",6,3,6,3,3,1,5,4,4
"143","BCL2",4,3,1,5,6,3,4,6,0
"144","BTG1",6,4,2,6,3,3,3,4,0
"145","CD69",6,3,2,2,4,0,2,2,0
"146","CDK6",3,3,2,3,0,2,3,5,0
"147","EPSTI1",3,3,3,1,1,0,3,2,0
"148","ERN1",4,5,4,4,4,0,4,3,0
"149","GNG2",6,4,2,3,4,3,4,2,0
"150","GRIP1",2,1,1,0,1,0,1,3,0
"151","GZMH",7,0,1,0,3,0,2,0,0
"152","HNRNPLL",4,4,4,7,2,5,5,1,0
"153","ITGA2",4,4,5,3,2,4,3,5,0
"154","KAT2B",5,3,6,7,2,0,4,4,0
"155","LMNB1",4,3,3,2,1,3,2,3,0
"156","LRRC8D",7,4,3,3,0,1,6,3,0
"157","LY75",3,3,6,2,2,3,3,4,0
