"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"512","SAMHD1",4,4,1,4,2,0,1,2,0
"513","SESN2",1,2,4,1,3,3,6,2,0
"514","SGO1-AS1",3,2,1,0,0,0,0,0,0
"515","SLC7A5",6,3,5,5,3,3,2,0,0
"516","TMEM120A",6,1,0,2,2,0,2,3,0
"517","WDR62",3,0,0,1,0,1,2,0,1
"518","ST3GAL3",3,3,2,1,1,1,3,0,0
"519","BTBD9",2,4,3,4,1,3,2,4,0
"520","FAM171A1",5,2,1,1,1,0,0,1,0
"521","LRRFIP2",4,3,3,9,3,3,4,3,0
"522","TTTY10",2,0,1,1,0,0,0,0,0
"523","ABL2",4,2,2,1,3,0,2,2,0
"524","ACSL4",7,3,7,5,2,0,5,1,0
"525","AGPAT4",6,2,4,4,4,0,3,0,0
"526","AMN1",2,3,4,4,3,3,1,0,0
"527","ATAD5",3,2,4,4,3,2,2,0,1
"528","CAMKMT",6,6,2,5,1,5,6,4,0
"529","CCDC18",3,1,1,1,2,0,3,3,0
"530","CCL3",4,0,3,1,7,1,1,0,0
"531","CEP70",1,2,5,0,1,2,4,0,1
"532","HIST1H2BD",2,1,5,3,1,0,5,3,0
"533","IGF2BP2",2,0,0,1,5,0,0,0,0
"534","IKBIP",1,3,2,2,1,1,1,0,0
"535","LIN52",3,2,3,1,3,0,2,0,0
"536","NIM1K",2,2,0,4,1,0,1,3,0
"537","NIPAL2",1,0,1,0,2,0,0,0,0
"538","NMB",3,0,0,1,0,1,3,0,0
"539","OPTN",5,1,6,2,4,0,6,2,0
"540","OSBP2",3,3,4,3,2,3,3,2,0
"541","PCNA",4,3,1,1,2,2,2,2,1
"542","PECAM1",5,2,3,0,3,3,4,0,0
"543","PIGN",8,3,4,6,3,5,8,0,0
"544","PRKCE",3,4,5,3,2,0,1,0,0
"545","SRBD1",2,2,4,2,3,2,3,4,0
"546","TPX2",4,2,2,4,3,1,2,2,1
"547","UBE2C",3,0,3,0,0,1,4,0,0
"548","UBE2S",4,3,3,2,1,1,3,2,1
"549","UPB1",1,0,1,0,0,0,1,1,0
"550","ACOT7",2,1,2,1,2,0,1,2,0
"551","ADGRG5",1,3,5,1,3,0,2,0,0
"552","ATP9A",3,2,1,2,1,0,0,2,0
"553","BTBD11",7,10,7,7,7,5,10,7,0
"554","CAMK1D",3,1,4,5,3,0,4,2,0
"555","CLYBL",2,2,4,2,4,0,2,1,0
"556","COMMD10",2,3,3,2,2,0,0,0,0
"557","DUSP4",6,6,5,5,0,4,3,10,3
"558","HLCS",3,2,3,2,1,0,5,3,0
"559","JPX",2,3,3,0,0,0,0,0,0
"560","LUCAT1",2,0,4,3,1,1,2,1,0
"561","LYN",7,1,5,0,2,2,1,1,0
"562","MICAL2",4,3,5,2,2,0,1,2,3
"563","MYO1D",6,2,3,4,1,0,4,1,0
"564","MYO9A",3,7,2,7,3,3,2,2,0
"565","NCAPH",4,1,4,6,3,2,5,0,0
"566","NRP2",2,0,1,0,0,0,1,3,0
"567","NT5DC1",3,3,3,3,2,0,2,4,0
"568","PALLD",1,0,3,3,2,6,2,1,0
"569","PCNX2",5,4,5,4,6,3,4,4,0
"570","PTMA",4,3,3,5,1,1,5,2,2
"571","RGCC",3,4,1,5,1,3,5,3,0
"572","SLC39A11",4,0,1,1,0,2,4,4,0
"573","STARD7",3,5,4,2,6,2,6,2,0
"574","TDRD3",3,1,1,4,1,0,2,2,0
"575","TNFRSF4",4,5,4,1,3,5,2,5,0
"576","LINC01619",5,3,5,7,3,3,6,4,0
"577","MCOLN2",3,6,1,5,3,3,4,0,0
"578","MGAT5",1,2,4,4,4,4,2,6,0
"579","MOB3B",1,0,1,2,2,0,0,0,0
"580","PLAC8",4,4,2,1,2,1,3,3,0
"581","POLH",6,3,6,4,3,1,2,0,0
"582","SLC38A9",5,4,1,4,5,0,6,5,0
"583","ACBD6",3,2,0,2,1,0,2,4,0
"584","ACTB",2,4,4,7,3,0,3,1,0
"585","ARRDC3",3,1,3,3,3,0,2,3,0
"586","CDC14A",5,3,9,7,4,5,3,4,0
"587","CDYL2",1,3,2,5,1,5,2,3,0
"588","CYP1A1",1,2,0,0,2,0,2,0,0
"589","ENOSF1",3,0,1,2,3,2,4,3,0
"590","FDFT1",2,3,3,2,0,2,4,0,0
"591","GAPDH",6,3,4,7,3,2,3,3,3
"592","LEKR1",1,2,1,2,2,0,1,3,0
"593","MAN1C1",3,8,3,2,1,5,3,5,0
"594","MTAP",3,5,4,6,5,0,2,0,0
"595","NEO1",1,1,1,1,1,0,1,1,0
"596","NRCAM",6,0,2,1,1,0,1,2,0
"597","PABPC1",2,3,3,3,1,1,2,2,0
"598","PFN1",4,8,3,2,5,6,4,2,0
"599","PHLPP1",6,5,3,9,3,0,7,2,0
"600","RANBP9",4,4,4,7,4,1,5,2,0
"601","SKAP2",2,2,3,0,2,0,2,4,0
"602","TRIM44",3,1,1,0,0,0,0,0,0
"603","TSC22D3",6,6,4,2,4,3,2,2,0
"604","UMAD1",6,5,2,2,5,4,1,2,0
"605","XKR6",3,1,5,2,4,6,2,2,0
"606","ARRDC3-AS1",1,0,0,1,0,0,1,0,0
"607","ATP2B1",5,7,5,3,2,5,7,1,0
"608","AURKB",2,3,2,4,1,1,3,1,0
"609","BCAT1",1,5,3,0,4,2,1,0,0
"610","CARD14",2,1,3,1,1,0,3,0,0
"611","CASC3",6,6,5,1,3,3,7,4,0
"612","CENPF",2,2,1,2,3,0,3,2,0
"613","CPD",5,4,4,5,7,1,6,2,0
"614","DENND5A",5,2,3,3,1,4,2,2,0
"615","EPB41L3",1,1,1,0,2,0,0,1,0
"616","EXOC4",4,2,4,4,1,0,5,5,0
"617","EXOC6",2,2,0,2,1,0,1,2,0
"618","FCHSD2",4,6,4,7,5,5,2,2,0
"619","HERC5",4,1,2,2,2,0,2,0,0
"620","MAP3K5",5,5,1,6,7,2,4,5,0
"621","MKI67",3,1,5,4,5,1,3,2,1
"622","NFX1",4,6,6,3,5,6,7,0,0
"623","PPP1R15A",3,3,5,6,4,4,3,2,0
"624","RNF19B",3,1,5,2,5,6,4,1,0
"625","SLC16A7",4,4,4,8,3,0,2,1,0
"626","ZC3HAV1",1,2,11,1,2,0,4,2,0
"627","ZNRF1",3,4,7,5,2,6,1,2,0
"628","AFAP1",2,4,3,4,0,0,3,4,0
"629","C4orf47",2,3,2,2,3,0,2,2,0
"630","DMGDH",2,1,5,1,2,1,3,2,0
"631","EGLN3",3,3,2,1,0,0,6,0,0
"632","FAM102B",2,3,4,4,3,0,3,2,0
"633","FAM222B",3,1,4,2,0,2,3,3,0
"634","FBXO42",3,6,3,3,4,0,3,0,0
"635","GMNN",2,4,8,4,5,3,5,1,1
"636","HIST1H4C",4,3,2,5,3,1,4,4,0
"637","KIF15",0,3,3,3,0,3,2,2,1
"638","KIF1B",3,2,3,0,1,5,4,0,0
"639","KIF2C",1,2,3,3,2,1,2,2,1
"640","LINC00944",2,1,2,0,0,0,2,0,0
"641","MAP3K2",3,4,1,4,6,4,3,1,0
"642","MIR155HG",3,1,3,2,4,0,5,4,0
"643","MPZL3",3,5,6,4,4,2,8,1,0
"644","RNF213",3,4,6,3,1,3,1,1,0
"645","STMN1",3,3,1,3,3,1,3,3,1
"646","TIGIT",3,1,2,1,1,0,4,3,0
"647","TNIP3",1,2,3,2,5,4,3,1,2
"648","VPS26A",3,5,4,4,4,5,7,0,0
"649","ZC3H3",2,4,3,1,2,1,1,1,0
"650","CCDC18-AS1",4,4,2,1,3,1,2,0,0
"651","CDK19",3,6,3,2,3,1,4,3,0
"652","DENND4C",1,2,2,6,5,0,3,4,0
"653","DNAJC1",4,10,5,3,3,0,0,7,0
"654","FBXO5",3,1,3,3,4,3,0,0,1
"655","GLCCI1",8,5,6,9,6,7,8,6,0
"656","ITFG1",8,6,4,10,5,4,6,4,0
"657","ITGA4",4,4,7,6,5,8,8,5,4
"658","ITPR2",5,3,3,4,3,4,5,5,0
"659","KIF20B",2,2,2,3,3,0,3,1,0
"660","KLHL5",7,5,3,8,2,5,6,7,0
"661","LEF1-AS1",1,1,1,1,0,0,5,4,0
"662","LGALS1",6,4,8,5,7,4,7,11,2
"663","LRMP",5,6,2,1,6,4,4,4,0
"664","MIR3142HG",4,9,3,3,3,7,4,6,0
"665","MPP7",5,2,2,5,1,0,2,1,0
"666","PLCG2",4,7,4,4,3,2,2,3,0
"667","PLXNC1",3,3,3,2,9,6,4,6,0
"668","RABGAP1L",7,1,7,9,6,5,5,5,0
"669","RNF24",4,6,1,4,3,2,3,2,0
"670","SLC9A9",2,3,4,8,5,0,2,1,0
"671","SMYD3",5,4,6,5,5,2,4,5,0
"672","THEMIS",5,4,4,5,8,6,4,2,0
"673","TIAM2",3,2,1,1,2,0,7,2,0
"674","TMEM156",4,4,3,7,1,7,7,6,4
"675","TNIK",5,5,3,6,2,3,6,5,0
"676","TPT1",5,4,6,7,8,4,4,7,0
"677","ZNF235",3,3,2,2,5,4,3,7,0
"678","ADAM23",2,2,2,3,0,0,1,2,0
"679","ALPK1",2,1,2,3,2,2,3,7,0
"680","B2M",4,3,2,5,5,3,4,3,0
"681","DPP4",4,2,6,1,4,3,7,1,0
"682","DPYD",6,6,5,7,8,5,3,3,0
"683","EGOT",3,7,4,2,0,0,5,1,0
"684","EML2-AS1",3,3,3,4,0,0,2,0,0
"685","GZMA",4,1,4,1,7,0,3,1,0
"686","INO80",2,5,3,5,2,2,2,3,0
"687","MARCH3",4,4,3,5,6,0,5,2,0
"688","PDE4B",3,3,2,3,3,4,2,2,0
"689","RAB11A",3,3,5,4,1,3,3,3,0
"690","RHBDF2",4,1,1,4,1,2,1,1,0
"691","RPL37A",4,5,4,5,3,2,3,4,0
"692","RPS26",2,3,5,1,3,4,3,3,0
"693","RPS29",4,3,6,4,6,3,5,5,0
"694","SCAPER",3,3,5,3,1,1,6,3,0
"695","SESTD1",1,3,3,1,1,0,4,0,0
"696","SRPK2",3,5,1,3,4,0,5,4,0
"697","TIPARP",4,3,7,5,3,2,5,2,0
"698","TMEM163",2,0,0,0,2,0,2,0,0
"699","WAC",3,2,2,3,2,2,2,1,0
"700","ZMYM4",5,2,4,3,2,2,4,5,0
"701","BICD1",2,3,3,2,2,0,4,4,0
"702","CKS2",4,3,4,0,2,3,3,1,1
"703","CST7",3,1,2,0,2,0,3,1,0
"704","DLEU1",7,5,6,7,10,5,4,5,0
"705","EXT1",4,5,3,2,7,4,5,4,0
"706","GPHN",3,3,4,3,0,0,4,0,0
"707","IL1A",3,1,2,4,1,0,5,0,0
"708","LINC00862",2,2,4,3,1,2,1,2,0
"709","MTMR8",2,5,2,0,1,0,4,2,0
"710","NPEPPS",5,4,3,7,3,5,5,1,0
"711","P4HA1",2,3,1,6,4,2,5,2,0
"712","PEX26",2,2,3,3,5,0,8,1,0
"713","RAB8B",5,5,3,2,2,5,5,4,0
"714","SORBS3",1,1,0,2,1,0,0,2,0
"715","ULK2",1,2,3,4,0,0,1,2,0
"716","ZNF365",2,2,1,1,1,0,0,0,0
"717","ADK",4,3,3,3,1,3,0,4,0
"718","BUB1",1,1,0,0,1,0,4,1,0
"719","CCDC91",6,6,5,3,9,6,5,3,0
"720","CCND3",3,6,2,2,2,0,2,5,0
"721","CD83",3,2,3,2,4,0,2,2,0
"722","CD96",4,2,6,4,5,2,6,5,1
"723","CECR2",2,1,0,1,0,0,0,2,0
"724","CERS6",2,4,2,2,5,0,3,6,0
"725","CHD6",2,2,6,2,3,3,2,3,0
"726","CSGALNACT1",2,2,2,2,1,2,5,3,0
"727","DIAPH3",3,3,3,2,3,2,5,0,0
"728","DNAJC9",1,2,2,3,1,2,1,2,0
"729","DUSP1",5,2,3,2,4,1,3,0,0
"730","EXOC6B",4,3,1,3,2,2,3,2,0
"731","FGFBP2",3,1,0,0,1,0,2,0,0
"732","FUT8",3,5,3,5,2,4,3,4,0
"733","LDAH",4,0,1,3,0,0,0,1,0
"734","MMS22L",1,0,0,1,2,0,1,0,0
"735","PEAK1",4,6,5,3,4,0,6,3,0
"736","PLCL1",2,4,1,4,1,5,4,5,0
"737","RAB3GAP1",6,4,3,4,4,0,4,3,0
"738","RPLP2",2,3,1,5,5,1,2,5,0
"739","RPS6",2,6,2,1,5,3,1,3,0
"740","RPS8",3,1,5,5,8,2,3,4,0
"741","SELL",4,6,1,4,4,0,1,6,0
"742","SH2B2",1,2,0,1,0,0,1,0,0
"743","SIAH3",2,1,1,2,1,0,0,1,0
"744","ZC4H2",2,0,4,4,4,0,1,2,0
"745","ABHD3",2,3,6,2,2,2,3,0,0
"746","ADAM9",4,4,4,2,2,4,4,1,0
"747","ARL8B",4,4,1,3,2,1,5,1,0
"748","ASPM",2,2,2,1,2,1,3,3,1
"749","BMPR1A",6,4,1,1,1,0,4,3,0
"750","CA6",2,0,2,0,0,0,3,1,0
"751","CKS1B",3,2,2,2,8,2,2,1,1
"752","CTSW",2,0,4,0,2,0,1,0,0
"753","DDB2",4,2,5,4,1,2,4,2,0
"754","GALC",2,3,8,4,7,0,4,3,0
"755","IER3",1,3,2,4,5,2,6,1,0
"756","INSIG2",2,2,8,2,2,3,4,3,2
"757","NFKBIA",4,1,5,5,4,4,4,4,0
"758","PHACTR2",5,4,6,7,4,4,3,5,0
"759","RAD21",3,7,4,4,4,3,3,3,0
"760","SNX4",3,4,1,4,3,2,2,2,0
"761","TPI1",1,0,4,4,2,2,3,3,0
"762","ULK4",2,2,3,4,2,0,3,3,0
"763","WDR76",3,2,4,3,5,2,2,1,0
"764","STRIP2",5,3,5,2,5,6,2,2,0
"765","AOAH",7,8,1,5,10,5,4,2,0
"766","ARHGAP26",4,6,4,5,3,0,4,1,0
"767","ATP8B4",3,5,2,3,3,7,4,3,0
"768","CYP1B1",2,1,2,0,2,4,2,2,1
"769","DUSP2",3,6,3,2,5,1,1,5,0
"770","EML4",6,1,5,1,4,2,1,7,0
"771","ENPP3",3,1,2,0,3,0,2,2,0
"772","H2AFZ",4,4,2,4,3,4,1,2,0
"773","HERC3",2,1,3,4,1,3,2,3,0
"774","HMMR",3,0,2,1,2,2,3,0,0
"775","KIF18A",2,0,1,3,1,0,3,0,0
"776","KNTC1",1,2,1,0,0,0,0,1,0
"777","LPIN2",5,2,5,5,6,4,5,5,1
"778","MYO6",1,1,1,0,1,0,0,0,0
"779","PZP",3,5,0,4,0,0,0,0,0
"780","RNGTT",4,2,2,1,1,0,0,2,0
"781","SUMF1",3,5,2,4,0,0,3,2,0
"782","TC2N",4,1,5,7,3,0,1,1,0
"783","AKAP7",1,5,3,1,0,0,3,1,0
"784","CCDC171",2,0,2,0,3,0,0,2,0
"785","CDHR3",2,2,2,0,0,0,0,3,0
"786","CEACAM1",2,4,5,4,0,3,5,4,0
"787","GLIPR1L2",1,1,0,0,1,0,0,0,0
"788","GRK3",3,2,4,4,2,0,3,0,0
"789","H1F0",2,1,1,2,3,0,0,2,0
"790","IRAK2",3,3,2,1,3,0,5,2,0
"791","KIAA1324",4,4,1,1,1,0,1,2,0
"792","NSUN7",2,1,0,0,2,0,1,0,0
"793","PATJ",2,3,4,3,2,0,2,2,0
"794","RNF157",4,0,5,4,2,0,3,1,0
"795","RTKN2",1,6,3,2,2,0,4,1,0
"796","TASP1",2,3,1,2,2,0,1,1,0
"797","TBCK",1,3,2,3,0,0,2,0,0
"798","TTN",4,1,1,2,3,1,3,4,0
"799","WDR63",1,2,1,0,4,0,2,1,0
"800","LRRN3",1,1,2,1,1,3,6,2,0
"801","MSRA",1,1,2,3,0,0,2,3,0
"802","P2RX7",3,1,2,1,3,0,2,1,0
"803","PVT1",2,3,5,8,4,2,6,0,0
"804","RBMS3",3,1,4,4,3,5,4,5,0
"805","SAT1",3,7,8,4,9,2,7,5,0
"806","STAU2",2,5,1,1,4,1,5,2,0
"807","ARL15",2,5,2,6,3,0,1,2,0
"808","ARL4D",1,0,1,1,1,0,0,2,0
"809","DIRC3",2,3,1,0,0,0,3,3,0
"810","FNBP1L",2,2,2,0,1,4,2,1,0
"811","GADD45A",4,2,4,3,2,5,4,2,0
"812","HPD",1,0,0,1,0,0,0,0,0
"813","LTA",3,6,3,2,4,3,7,3,0
"814","MTHFD1L",3,0,4,4,4,1,1,1,0
"815","OLFM2",1,4,0,1,0,0,1,3,0
"816","PIP5K1B",3,4,4,0,0,2,3,1,1
"817","RFFL",3,2,1,3,5,0,3,2,0
"818","RMDN2",3,1,3,0,0,0,1,1,0
"819","SLC35F3",2,2,2,3,1,3,2,3,0
"820","SRGN",5,4,5,3,2,2,4,3,0
"821","STK3",1,0,2,0,0,3,3,1,0
"822","TNF",3,1,4,3,2,3,3,1,0
"823","TNFRSF9",4,1,1,4,3,4,5,3,0
"824","TRIB3",1,3,0,3,0,1,2,1,0
"825","ZC3H12D",2,4,5,7,2,5,5,4,0
"826","ZCCHC7",2,4,5,0,1,1,2,6,0
"827","HIST1H2BJ",5,9,2,2,4,8,5,1,0
"828","ANKRD37",1,4,3,4,1,2,1,1,0
"829","CCNL1",3,5,3,3,3,6,3,3,0
"830","DENND1A",3,1,3,2,1,0,4,4,0
"831","DENND4A",4,5,0,2,4,6,5,7,0
"832","DHRS7B",4,1,1,0,1,0,3,0,0
"833","DIP2C",2,0,2,0,0,0,1,1,0
"834","EEF1A1",4,6,4,2,2,2,0,8,0
"835","FHIT",3,5,4,3,1,4,7,7,0
"836","JARID2",5,5,2,3,6,3,5,2,0
"837","MAP2K6",3,3,3,2,2,0,0,1,0
"838","MLLT3",3,4,5,9,8,1,3,3,0
"839","PIGK",2,2,6,1,0,0,2,0,0
"840","PPP1R2",4,3,4,2,3,5,7,7,0
"841","RPS15A",4,3,1,4,6,2,3,2,0
"842","RPS2",2,2,0,5,4,2,1,5,0
"843","TANGO6",2,2,2,0,3,0,2,5,0
"844","THADA",3,5,2,3,3,3,5,4,0
"845","XCL1",1,0,2,1,3,0,1,3,0
"846","AKT3",3,4,6,5,6,1,5,4,0
"847","ANK3",3,2,3,2,3,3,4,2,0
"848","APOLD1",4,4,4,6,1,2,2,4,0
"849","C8orf37-AS1",2,1,3,4,0,0,2,0,0
"850","CMSS1",3,3,1,0,3,0,4,1,0
"851","DNM3",2,5,3,2,3,0,4,4,0
"852","FYN",3,3,1,7,4,1,1,6,0
"853","H3F3B",2,4,6,5,2,5,4,4,0
"854","IMMP2L",2,3,5,3,4,7,2,0,0
"855","LINC00467",2,1,2,1,1,0,2,1,0
"856","LINC00886",5,4,3,6,2,0,3,6,1
"857","NEK11",2,1,0,0,0,0,0,0,0
"858","SAMD3",2,0,5,0,6,0,1,2,0
"859","SUCLG2",6,4,3,4,4,5,1,1,0
"860","SUCLG2-AS1",2,3,3,4,0,1,2,1,0
"861","TEX14",2,5,2,0,4,0,8,1,0
"862","TMTC2",4,4,5,3,1,2,2,1,0
"863","TRAPPC9",2,4,5,1,2,4,8,2,0
"864","TUBB",2,2,4,0,2,3,2,3,1
"865","ZCCHC14",3,1,2,1,2,0,1,2,0
"866","ABLIM1",6,4,3,2,5,5,4,5,0
"867","AGTPBP1",4,4,5,5,2,0,2,3,0
"868","AIM2",2,3,1,5,3,0,4,1,0
"869","ATG10",5,4,5,3,3,4,6,2,0
"870","CD200",1,2,0,1,0,0,2,0,0
"871","FAM3C",5,7,6,2,4,0,4,2,0
"872","GADD45G",2,2,1,4,2,3,4,1,0
"873","GCNT2",1,2,1,0,1,0,2,2,0
"874","KLF12",6,5,9,5,2,7,4,7,0
"875","NUBPL",2,4,1,2,2,0,6,1,0
"876","PTPRM",1,5,4,4,2,3,2,2,0
"877","SAMSN1",8,5,7,3,6,5,3,5,0
"878","TXNDC16",4,3,1,3,4,0,0,1,0
"879","ATM",6,5,8,9,6,9,10,4,0
"880","CDC25C",2,0,1,2,4,1,4,0,0
"881","CLSPN",2,2,1,2,3,3,2,1,2
"882","DZIP3",3,5,1,1,2,3,2,0,0
"883","ERCC8",1,1,0,0,0,0,0,0,0
"884","HLA-DQA2",1,2,1,3,4,0,2,1,0
"885","HSPA8",2,2,3,4,1,3,5,2,0
"886","KIAA1324L",1,2,5,4,0,0,3,1,0
"887","MCU",4,1,2,3,1,0,1,1,0
"888","MICU3",1,1,1,1,2,0,0,0,0
"889","MPP6",3,1,2,2,0,0,3,1,0
"890","NCAPG",2,4,2,0,3,3,3,1,2
"891","NCAPG2",2,2,1,3,1,1,1,0,1
"892","NEIL3",3,3,1,1,1,2,2,2,2
"893","NRIP1",5,7,3,2,7,6,4,3,0
"894","PDE7B",3,7,3,2,1,1,0,4,0
"895","PRR11",2,2,2,3,3,2,0,1,1
"896","PTPRK",1,1,1,2,1,0,2,0,0
"897","REV3L",1,5,1,3,4,0,5,4,0
"898","SCFD2",1,0,1,2,1,4,2,3,0
"899","SIPA1L2",1,1,1,0,1,0,1,0,0
"900","SSBP2",7,2,3,5,5,2,2,3,0
"901","TUBB4B",2,3,2,1,0,1,2,1,1
"902","UBE2E3",1,2,2,3,0,0,0,0,0
"903","ARL6IP1",2,5,5,2,3,2,4,2,1
"904","ATAD2",4,3,3,3,4,2,4,0,1
"905","BRIP1",2,1,0,1,0,2,4,2,1
"906","CCDC141",4,7,0,2,2,4,4,4,0
"907","CDC20",1,5,1,2,4,1,1,3,1
"908","CNNM2",3,2,1,4,0,0,4,1,0
"909","FANCC",1,1,2,1,4,0,1,3,0
"910","GPR157",1,4,1,4,0,0,6,4,0
"911","HELLS",4,0,1,1,5,0,7,0,0
"912","HIST1H3H",2,0,2,0,1,4,1,2,0
"913","KIF14",2,3,1,1,1,2,3,1,2
"914","KIF20A",1,2,0,3,2,1,2,0,1
"915","KIF23",1,3,0,0,4,3,3,2,1
"916","KNL1",3,2,0,0,1,0,2,0,1
"917","MBOAT2",3,1,2,0,0,0,1,1,0
"918","NCAPD3",2,3,1,3,2,3,1,0,0
"919","POLA1",1,1,0,2,2,0,3,2,0
"920","RACGAP1",3,2,2,3,4,2,2,3,1
"921","RPS12",3,4,1,3,2,4,2,7,0
"922","RYK",4,3,3,4,7,0,1,1,0
"923","TPK1",3,2,1,4,2,0,4,1,0
"924","USP37",1,3,7,4,4,0,3,1,0
"925","BUB1B",3,4,1,0,4,1,0,4,0
"926","CADM1",6,0,1,0,2,0,2,0,0
"927","CAMSAP2",1,3,3,3,2,0,2,5,0
"928","CDK1",3,4,0,1,2,2,2,0,2
"929","ECT2",4,2,1,3,2,0,3,0,0
"930","EHD1",2,3,3,3,1,3,5,2,0
"931","FAM102A",2,3,3,3,3,0,5,2,0
"932","FAM49A",2,0,1,2,3,0,0,0,0
"933","FTX",3,6,7,4,3,0,1,4,0
"934","HLA-DRB5",2,1,0,3,1,0,2,0,0
"935","IQCG",3,2,4,3,2,0,2,2,0
"936","KIF11",1,2,2,3,1,1,1,2,1
"937","PARPBP",2,2,2,2,2,0,1,0,0
"938","PDCD4",4,9,7,4,6,6,7,8,0
"939","PLEKHG1",2,3,3,0,4,0,1,1,0
"940","PTMS",3,1,2,2,3,0,2,2,0
"941","RRM2",2,2,2,3,3,3,1,1,2
"942","SIPA1L1",4,5,5,5,4,4,1,6,0
"943","SRGAP3",1,4,0,2,3,0,1,4,0
"944","TRIM59",4,2,0,4,1,3,1,3,0
"945","VKORC1L1",2,4,1,2,1,0,3,1,0
"946","GPD2",2,6,4,6,5,5,2,4,0
"947","AC022182.1",1,1,0,0,1,0,2,4,0
"948","CLIP2",0,0,2,0,1,0,0,0,0
"949","CLNK",0,2,1,0,0,0,0,2,0
"950","COMMD1",2,2,5,1,1,0,2,1,0
"951","FAM117B",5,3,2,3,1,0,2,1,0
"952","GALM",3,5,4,4,3,4,2,2,0
"953","HIST1H2BN",2,3,3,3,3,3,4,1,0
"954","IFITM3",1,2,2,2,3,0,4,1,0
"955","IL4I1",1,0,2,3,3,2,0,0,0
"956","LINC00299",1,1,1,1,2,0,2,1,0
"957","LINC01184",2,1,2,3,1,0,3,2,0
"958","LINC01281",1,2,0,1,0,0,1,2,0
"959","PREX1",2,6,3,3,3,4,5,3,0
"960","RGS16",4,2,1,4,2,2,3,2,0
"961","SLX4IP",2,2,3,5,1,0,3,5,0
"962","TPST1",3,1,1,0,3,0,3,1,0
"963","ZDHHC14",1,3,6,4,2,3,6,3,0
"964","TXNIP",3,1,5,3,0,4,8,3,0
"965","BZW1",3,6,6,3,4,5,4,0,0
"966","C1orf21",3,0,2,0,3,0,0,0,0
"967","CCNA2",2,4,1,2,2,3,1,2,2
"968","CSF2",2,1,3,3,3,0,5,1,0
"969","DHX9",1,2,4,3,3,3,2,1,0
"970","DLEU7",2,3,2,3,0,0,0,0,0
"971","EHBP1",3,6,3,4,2,2,2,2,0
"972","FAF1",4,2,6,2,3,0,4,3,0
"973","FAM228B",1,2,2,2,1,0,0,2,0
"974","KLRG1",2,2,3,1,1,5,2,2,0
"975","LINC01229",3,4,3,4,1,5,7,0,0
"976","NCKAP1",2,3,0,2,0,4,3,2,0
"977","OPRM1",4,0,0,0,3,0,3,0,0
"978","PDK1",1,4,5,2,3,3,3,2,0
"979","PLEK",2,2,0,0,2,0,0,0,0
"980","PPM1L",1,1,3,4,2,0,1,2,0
"981","RHOB",1,2,0,2,1,0,2,1,0
"982","SQLE",1,1,3,2,1,0,4,3,0
"983","TNFSF13B",1,1,1,2,0,0,1,0,0
"984","TNFSF9",2,0,2,0,2,2,0,0,0
"985","TTK",2,1,3,1,3,3,3,1,1
"986","VPS8",4,3,3,4,2,3,2,3,0
"987","CTH",6,3,5,2,3,4,3,1,0
"988","GANC",2,1,4,3,4,2,0,2,0
"989","GARS",4,3,6,4,3,0,4,4,0
"990","KCNK10",1,0,0,0,0,0,0,0,0
"991","LAMP3",1,0,1,1,1,0,0,0,0
"992","MAGI3",1,3,2,3,1,0,2,1,0
"993","MB21D2",3,3,2,4,1,4,4,3,0
"994","MDS2",2,3,3,4,1,0,3,1,0
"995","MYO1E",1,4,3,2,2,4,4,6,0
"996","PGAP1",1,2,7,4,3,2,4,0,0
"997","PLIN5",1,0,0,0,0,0,0,0,0
"998","PMAIP1",2,2,3,3,2,4,2,1,0
"999","RALGPS2",2,1,1,1,2,1,4,2,0
"1000","RPL34-AS1",2,2,1,1,1,2,4,3,0
"1001","SCLT1",3,3,3,5,2,0,3,1,0
"1002","ARID4B",3,2,1,4,6,4,5,3,0
"1003","DOCK8",2,3,7,5,1,8,3,6,0
"1004","EIF1B-AS1",2,2,0,1,0,0,1,3,0
"1005","IQGAP2",6,5,9,7,4,5,4,8,0
"1006","LINC01578",4,6,8,3,6,3,5,1,0
"1007","MAP3K13",4,1,5,1,2,0,2,1,0
"1008","ZC3H6",6,4,7,7,6,7,5,3,0
"1009","EFNA5",0,1,1,1,7,0,0,1,0
"1010","FER",3,0,4,4,2,4,2,1,0
"1011","GFOD1",0,1,0,1,4,0,1,2,0
"1012","HIST1H3J",1,4,2,2,2,3,5,1,0
"1013","INPP4B",5,8,8,4,4,6,5,7,2
"1014","ABTB2",4,2,3,5,3,3,6,5,0
"1015","EIF4G3",4,2,3,4,4,6,6,4,0
"1016","ENTHD1",1,2,0,0,0,0,0,1,0
"1017","GNLY",3,1,4,1,7,0,3,2,0
"1018","KLRK1",4,1,3,0,7,0,0,0,0
"1019","LINC01572",1,3,4,5,2,0,3,2,0
"1020","LMNA",2,3,2,2,2,2,4,0,0
"1021","NFKBIZ",4,5,6,5,5,6,7,3,0
"1022","SPATA6L",1,0,0,0,1,0,1,0,0
"1023","BCAS3",2,6,6,6,5,6,11,5,0
"1024","CCR9",4,3,0,3,1,3,3,2,1
"1025","CHAC1",1,4,0,2,1,0,1,0,0
"1026","GNPTAB",6,1,1,2,11,0,4,4,0
"1027","HIST1H1C",3,3,7,9,5,7,1,3,0
